fast_stage,capability_type,capability_id,capability_name,impairment_level,icf_code,clinical_notes,information_needs
FAST-1,ADL,ADL-1,Bathing,Independent,d510,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,ADL,ADL-2,Dressing,Independent,d540,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,ADL,ADL-3,Toileting,Independent,d530,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,ADL,ADL-4,Transferring,Independent,d420,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,ADL,ADL-5,Continence,Independent,b620,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,ADL,ADL-6,Feeding,Independent,d550,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-1,Using Telephone,Independent,d360,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-2,Shopping,Independent,d620,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-3,Food Preparation,Independent,d630,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-4,Housekeeping,Independent,d640,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-5,Laundry,Independent,d640,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-6,Transportation,Independent,d470,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-7,Medications,Independent,d570,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-1,IADL,IADL-8,Financial Management,Independent,d860,No functional decline. Normal cognitive and physical functioning.,Routine health maintenance only
FAST-2,ADL,ADL-1,Bathing,Independent,d510,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,ADL,ADL-2,Dressing,Independent,d540,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,ADL,ADL-3,Toileting,Independent,d530,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,ADL,ADL-4,Transferring,Independent,d420,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,ADL,ADL-5,Continence,Independent,b620,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,ADL,ADL-6,Feeding,Independent,d550,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-1,Using Telephone,Independent,d360,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-2,Shopping,Independent,d620,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-3,Food Preparation,Independent,d630,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-4,Housekeeping,Independent,d640,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-5,Laundry,Independent,d640,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-6,Transportation,Independent,d470,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-7,Medications,Independent,d570,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-2,IADL,IADL-8,Financial Management,Independent,d860,Subjective memory complaints but no objective functional deficits.,Normal aging information; when to seek evaluation
FAST-3,ADL,ADL-1,Bathing,Independent,d510,All ADLs remain independent in early Alzheimer's disease.,Early diagnosis information; lifestyle modifications; future planning
FAST-3,ADL,ADL-2,Dressing,Independent,d540,All ADLs remain independent in early Alzheimer's disease.,Early diagnosis information; lifestyle modifications; future planning
FAST-3,ADL,ADL-3,Toileting,Independent,d530,All ADLs remain independent in early Alzheimer's disease.,Early diagnosis information; lifestyle modifications; future planning
FAST-3,ADL,ADL-4,Transferring,Independent,d420,All ADLs remain independent in early Alzheimer's disease.,Early diagnosis information; lifestyle modifications; future planning
FAST-3,ADL,ADL-5,Continence,Independent,b620,All ADLs remain independent in early Alzheimer's disease.,Early diagnosis information; lifestyle modifications; future planning
FAST-3,ADL,ADL-6,Feeding,Independent,d550,All ADLs remain independent in early Alzheimer's disease.,Early diagnosis information; lifestyle modifications; future planning
FAST-3,IADL,IADL-1,Using Telephone,Independent,d360,May have difficulty with complex phone tasks but basic use intact.,Simplification strategies; contact lists; emergency numbers
FAST-3,IADL,IADL-2,Shopping,Requires Prompting,d620,May have difficulty with shopping for multiple items or in unfamiliar stores.,Shopping lists; routine stores; companion shopping
FAST-3,IADL,IADL-3,Food Preparation,Independent,d630,Can still prepare familiar meals but may have difficulty with complex new recipes.,Simplified recipes; meal planning; safety tips
FAST-3,IADL,IADL-4,Housekeeping,Independent,d640,Housekeeping generally maintained but organizational capacity decreasing.,Routine establishment; checklists; simplified tasks
FAST-3,IADL,IADL-5,Laundry,Independent,d640,Can perform laundry but may need reminders or routines.,Routine schedules; simplified sorting; clear labeling
FAST-3,IADL,IADL-6,Transportation,Impaired,d470,Difficulty traveling to new locations; may get lost in unfamiliar areas.,Familiar routes only; GPS aids; driving assessment; alternative transport
FAST-3,IADL,IADL-7,Medications,Requires Prompting,d570,May forget doses or timing; pill organizers helpful.,Pill organizers; alarms; caregiver monitoring; medication review
FAST-3,IADL,IADL-8,Financial Management,Impaired,d860,Decreased ability to handle complex finances; bill paying and budgeting affected.,Financial oversight; automatic payments; simplified accounts; fraud protection
FAST-4,ADL,ADL-1,Bathing,Independent,d510,ADLs mostly independent but may need prompting for bathing.,Bathing routines; reminders; safety modifications (grab bars)
FAST-4,ADL,ADL-2,Dressing,Independent,d540,Can dress independently but may need prompting or weather-appropriate selection.,Laying out clothes; weather-appropriate selection; simplified closet
FAST-4,ADL,ADL-3,Toileting,Independent,d530,Toileting remains independent though may need reminders.,Toileting schedule; clear bathroom signage
FAST-4,ADL,ADL-4,Transferring,Independent,d420,Transfers remain independent in mild AD.,Fall prevention; decluttering; adequate lighting
FAST-4,ADL,ADL-5,Continence,Independent,b620,Continence maintained in mild AD.,Toileting schedule to prevent accidents
FAST-4,ADL,ADL-6,Feeding,Independent,d550,Feeding independent; may need assistance with food selection.,Meal routines; nutritious choices; dining supervision
FAST-4,IADL,IADL-1,Using Telephone,Requires Prompting,d360,Difficulty with complex phone tasks; may forget how to use features.,Simplified phones; picture dials; programmed numbers; caller ID
FAST-4,IADL,IADL-2,Shopping,Requires Assistance,d620,Cannot shop independently for multiple items; needs accompaniment.,Accompanied shopping; online delivery; pre-made lists
FAST-4,IADL,IADL-3,Food Preparation,Requires Prompting,d630,Can prepare simple meals but needs supervision for safety.,Simple recipes; microwave meals; supervision; stove safety devices
FAST-4,IADL,IADL-4,Housekeeping,Requires Prompting,d640,Housekeeping decline evident; needs assistance maintaining cleanliness.,Housekeeping services; family assistance; simplified tasks
FAST-4,IADL,IADL-5,Laundry,Requires Prompting,d640,Can do laundry with prompting and setup.,Assistance with setup; clear instructions; supervision
FAST-4,IADL,IADL-6,Transportation,Dependent,d470,Cannot travel independently; driving should be evaluated/ceased.,Driving cessation; arranged transportation; caregiver transport; ride services
FAST-4,IADL,IADL-7,Medications,Requires Assistance,d570,Cannot manage medications independently; needs supervision.,Complete medication management; caregiver administration; pharmacy packaging
